ID,Title,Episodes,ProductionHouse,Genres,Type,Year,Rating,ProductionHouse_Merged,Genres_Merged
3777,"Majokko Shimai no Yoyo to Nene",1,"['ufotable']","['Based on a Manga', 'Fantasy', 'Magic', 'Person in a Strange World']",Movie,2013,4.2,ufotable,BasedonaMangaFantasyMagicPersoninaStrangeWorld
3779,"Haibane Renmei",13,"['Radix']","['Angels', 'Based on a Doujinshi', 'Drama', 'Fantasy', 'Slice of Life']",TV,2002,4.2,Radix,AngelsBasedonaDoujinshiDramaFantasySliceofLife
3784,"Vampire Hunter D: Bloodlust",1,"['MADHOUSE']","['Action', 'Based on a Novel', 'Mercenaries', 'Post-apocalyptic', 'Vampires']",Movie,2000,4.1,MADHOUSE,ActionBasedonaNovelMercenariesPost-apocalypticVampires
3791,"Is this a Zombie? Of the Dead",10,"['Studio Deen']","['Based on a Light Novel', 'Comedy', 'Crossdressing', 'Ecchi', 'Fantasy', 'Magic', 'Magical Girl', 'Parody', 'School Life', 'Shounen', 'Zombies']",TV,2012,4.1,StudioDeen,BasedonaLightNovelComedyCrossdressingEcchiFantasyMagicMagicalGirlParodySchoolLifeShounenZombies
38,"Steins;Gate The Movie",1,"['WHITE FOX']","['Based on a Visual Novel', 'Drama', 'Time Travel']",Movie,2013,4.6,WHITEFOX,BasedonaVisualNovelDramaTimeTravel
3809,"Joou Heika no Petite Angie",26,"['Ashi Productions']","['Detectives', 'Original Work']",TV,1977 - 1978,1.9,AshiProductions,DetectivesOriginalWork
381,"Loups=Garous",1,"['Production I.G']","['Mystery', 'Sci Fi']",Movie,2010,2.9,ProductionI.G,MysterySciFi
3813,"Akakichi no Eleven",52,"['']","['Based on a Manga', 'Soccer', 'Sports']",TV,1970 - 1971,1.9,,BasedonaMangaSoccerSports
382,"Jigoku Sensei Nube (1996)",1,"['Toei Animation']","['Supernatural']",Movie,1996,2.9,ToeiAnimation,Supernatural
3822,"Panda no Daibouken",1,"['Toei Animation']","['Adventure', 'Animal Protagonists', 'Comedy']",Movie,1973,1.9,ToeiAnimation,AdventureAnimalProtagonistsComedy
3834,"Shinseiki Duel Masters Flash",24,"['G&G Entertainment']","['Based on a Manga', 'Card Battles', 'Family Friendly', 'Shounen']",TV,2006 - 2007,1.9,G&GEntertainment,BasedonaMangaCardBattlesFamilyFriendlyShounen
384,"Shin Koihime Musou: Live Revolution",1,"['Dogakobo']","['Music']",OVA,2010,2.9,Dogakobo,Music
385,"Seikimatsu Occult Gakuin Specials",4,"['A-1 Pictures']","['Supernatural']",DVD Special,2010 - 2011,2.9,A-1Pictures,Supernatural
3855,"Idaten Jump",52,"['Trans Arts Co.']","['Action', 'Adventure', 'Based on a Manga', 'Cycling', 'Family Friendly', 'Person in a Strange World', 'Racing', 'Shounen', 'Sports']",TV,2005 - 2006,1.8,TransArtsCo.,ActionAdventureBasedonaMangaCyclingFamilyFriendlyPersoninaStrangeWorldRacingShounenSports
3858,"Samurai Gun Special",1,"['Studio Egg']","['"[]"']",DVD Special,2005,1.8,StudioEgg,
