ID,Title,Episodes,ProductionHouse,Genres,Type,Year,Rating,ProductionHouse_Merged,Genres_Merged
['53', 'Gake no Ue no Ponyo (Ponyo)', '1', "['Studio Ghibli', 'Dentsu', 'd-rights', 'Toho Company', 'Walt Disney Studios']", "['Adventure', 'Fantasy']", 'Movie', '2008-2008', 'G'],StudioGhibliDentsud-rightsTohoCompanyWaltDisneyStudios,AdventureFantasy
['54', 'Ushiro no Shoumen Daare (Who&#039;s Left Behind?)', '1', "['Mushi Productions']", "['Drama', 'Historical']", 'Movie', '1991-1991', 'G'],MushiProductions,DramaHistorical
['55', 'Ao no Exorcist Movie', '1', "['Aniplex', 'A-1 Pictures', 'Aniplex of America']", "['Action', 'Demons', 'Fantasy', 'Shounen', 'Supernatural']", 'Movie', '2012-2012', 'PG-13'],AniplexA-1PicturesAniplexofAmerica,ActionDemonsFantasyShounenSupernatural
['56', 'Arashi no Yoru ni', '1', "['Group TAC', 'TBS']", "['Adventure', 'Comedy', 'Drama', 'Fantasy']", 'Movie', '2005-2005', 'G'],GroupTACTBS,AdventureComedyDramaFantasy
['57', 'Piano no Mori', '1', "['Madhouse', 'Sony Music Entertainment', 'Cyclone Graphics inc']", "['Adventure', 'Comedy', 'Drama', 'Music', 'School']", 'Movie', '2007-2007', 'G'],MadhouseSonyMusicEntertainmentCycloneGraphicsinc,AdventureComedyDramaMusicSchool
['58', 'Transformers the Movie (Transformers: The Movie)', '1', "['Toei Animation', 'Hasbro']", "['Action', 'Mecha']", 'Movie', '1986-1986', 'PG'],ToeiAnimationHasbro,ActionMecha
['59', 'Mind Game', '1', "['Studio 4\xc2\xb0C']", "['Adventure', 'Comedy', 'Dementia', 'Psychological', 'Romance']", 'Movie', '2004-2004', 'R'],Studio4°C,AdventureComedyDementiaPsychologicalRomance
['60', 'Giovanni no Shima (Giovanni&#039;s Island)', '1', "['Production I.G', 'Warner Bros.']", "['Drama', 'Historical']", 'Movie', '2014-2014', 'PG-13'],ProductionI.GWarnerBros.,DramaHistorical
['61', 'Hoshi wo Ou Kodomo (Children who Chase Lost Voices)', '1', "['Media Factory', 'Movic', 'CoMix Wave Films', 'Sentai Filmworks', 'Yahoo! Japan', 'Warner Music Japan']", "['Adventure', 'Fantasy', 'Romance']", 'Movie', '2011-2011', 'PG-13'],MediaFactoryMovicCoMixWaveFilmsSentaiFilmworksYahoo!JapanWarnerMusicJapan,AdventureFantasyRomance
['62', 'Bakemono no Ko (The Boy and the Beast)', '1', "['FUNimation Entertainment', 'Kadokawa Shoten', 'Toho Company', 'Studio Chizu', 'Nippon Television Network Corporation']", "['Adventure', 'Supernatural']", 'Movie', '2015-2015', 'None'],FUNimationEntertainmentKadokawaShotenTohoCompanyStudioChizuNipponTelevisionNetworkCorporation,AdventureSupernatural
['63', 'Jin-Rou (Jin-Roh: The Wolf Brigade)', '1', "['Production I.G', 'Bandai Entertainment', 'Discotek']", "['Drama', 'Military', 'Police', 'Psychological', 'Romance']", 'Movie', '1998-1998', 'R'],ProductionI.GBandaiEntertainmentDiscotek,DramaMilitaryPolicePsychologicalRomance
['64', 'Memories', '3', "['Madhouse', 'Studio 4\xc2\xb0C']", "['Drama', 'Horror', 'Psychological', 'Sci-Fi']", 'Movie', '1995-1995', 'PG-13'],MadhouseStudio4°C,DramaHorrorPsychologicalSci-Fi
['65', 'Macross Plus Movie Edition', '1', "['Studio Nue']", "['Action', 'Adventure', 'Mecha', 'Military', 'Romance', 'Sci-Fi', 'Shounen', 'Space']", 'Movie', '1995-1995', 'PG-13'],StudioNue,ActionAdventureMechaMilitaryRomanceSci-FiShounenSpace
['66', 'Momo e no Tegami (A Letter to Momo)', '1', "['Production I.G', 'GKids']", "['Drama']", 'Movie', '2011-2011', 'G'],ProductionI.GGKids,Drama
['67', 'Toaru Hikuushi e no Tsuioku (The Princess and the Pilot)', '1', "['Madhouse', 'TV Tokyo', 'TMS Entertainment', 'Movic', 'NIS America', 'Inc.', 'Cyclone Graphics inc']", "['Adventure', 'Military', 'Romance']", 'Movie', '2011-2011', 'PG-13'],MadhouseTVTokyoTMSEntertainmentMovicNISAmericaInc.CycloneGraphicsinc,AdventureMilitaryRomance
['68', 'Ginga Tetsudou 999 (Movie)', '1', "['Toei Animation', 'Discotek']", "['Adventure', 'Drama', 'Fantasy', 'Sci-Fi', 'Space']", 'Movie', '1979-1979', 'PG-13'],ToeiAnimationDiscotek,AdventureDramaFantasySci-FiSpace
['69', 'Hal', '1', "['Production I.G', 'FUNimation Entertainment', 'Shochiku', 'Pony Canyon', 'Wit Studio']", "['Romance', 'Sci-Fi', 'Shoujo']", 'Movie', '2013-2013', 'PG-13'],ProductionI.GFUNimationEntertainmentShochikuPonyCanyonWitStudio,RomanceSci-FiShoujo
['70', 'Ojiisan no Lamp', '1', "['Telecom Animation Film']", "['Drama', 'Historical']", 'Movie', '2011-2011', 'G'],TelecomAnimationFilm,DramaHistorical
['71', 'Cardcaptor Sakura Movie 1 (Cardcaptor Sakura: The Movie)', '1', "['Madhouse', 'NHK', 'Kodansha', 'Shelty', 'Nelvana', 'NHK Enterprises', 'Discotek']", "['Comedy', 'Drama', 'Fantasy', 'Magic', 'Shoujo']", 'Movie', '1999-1999', 'PG'],MadhouseNHKKodanshaSheltyNelvanaNHKEnterprisesDiscotek,ComedyDramaFantasyMagicShoujo
