Name	Net Worth(Billions$)	Source of Wealth
Iskander Makhmudov	 4 	mining, metals, machinery
Terrence Pegula	 4 	natural gas
Jerry Speyer	 4 	real estate
Leonard Stern	 4 	real estate
Lucio Tan	 4 	diversified
Shari Arison	 3.9 	Carnival Cruises
Leonid Fedun	 3.9 	oil
Frits Goldschmeding	 3.9 	temp agency
Martha Ingram	 3.9 	book distribution, transportation
Rupert Johnson	 3.9 	money management
Edwin Leong	 3.9 	real estate
Mary Alice Dorrance Malone	 3.9 	Campbell Soup
John Sall	 3.9 	software
Jeffrey Skoll	 3.9 	eBay
Sheldon Solow	 3.9 	real estate
Jianping Zhou	 3.9 	apparel
Heinz-Georg Baus	 3.8 	home improvement stores
Denise Coates	 3.8 	online gambling
Traudl Engelhorn	 3.8 	pharmaceuticals/medical equipment
Ursula Engelhorn	 3.8 	pharmaceuticals/medical equipment
Michael Herz	 3.8 	coffee
Wolfgang Herz	 3.8 	coffee
Randal Kirk	 3.8 	pharmaceuticals
Niels Peter Louis-Hansen	 3.8 	medical devices
Fredrik Lundberg	 3.8 	real estate, investments
John Morris	 3.8 	sporting goods retail
Ross Perot	 3.8 	computer services, real estate
Michael Pieper	 3.8 	kitchen appliances
Karen Pritzker	 3.8 	hotels, investments
Viktor Rashnikov	 3.8 	steel
Leandro Rizzuto	 3.8 	consumer products
Edward Roski	 3.8 	real estate
Walter Scott	 3.8 	utilities, telecom
Jindong Zhang	 3.8 	appliance retailer
Rahel Blocher	 3.7 	chemicals
Vanich Chaiyawan	 3.7 	insurance, beverages
Juan Carlos Escotet	 3.7 	banking
Phillip Frost	 3.7 	pharmaceuticals
Wing Mau Hui	 3.7 	real estate
Jeremy Jacobs	 3.7 	sports concessions
Nathan Kirsh	 3.7 	retail, real estate
Hyuk-Bin Kwon	 3.7 	online games
Magdalena Martullo-Blocher	 3.7 	chemicals
Axel Oberwelland	 3.7 	candy
Idan Ofer	 3.7 	drilling, shipping
Horst Paulmann	 3.7 	retail
Nassef Sawiris	 3.7 	construction, chemicals
George Ty	 3.7 	banking
Alexander Abramov	 3.6 	steel, mining
Martin &amp; Olivier Bouygues	 3.6 	construction, media
Subhash Chandra	 3.6 	media
Archie Aldis Emmerson	 3.6 	timberland, lumber mills
Andrei Guriev	 3.6 	fertilizers
Elizabeth Holmes	 3.6 	blood testing
Masatoshi Ito	 3.6 	retail
Dominika &amp; Sebastian Kulczyk	 3.6 	diversified
Siegfried Meister	 3.6 	appliances
Gwendolyn Sontheim Meyer	 3.6 	Cargill
Anthony Pratt	 3.6 	manufacturing
Steven Rales	 3.6 	manufacturing
Ira Rennert	 3.6 	investments
Julian Robertson	 3.6 	hedge funds
Harry Stine	 3.6 	agriculture
Ronda Stryker	 3.6 	medical equipment
Lottie Tham	 3.6 	H&amp;M
Frank Wang	 3.6 	drones
Gautam Adani	 3.5 	commodities, infrastructure
Michael Ashley	 3.5 	sports retailing
Benu Gopal Bangur	 3.5 	cement
Peter Buck	 3.5 	Subway sandwich shops
Rick Caruso	 3.5 	real estate
Dan Friedkin	 3.5 	Toyota dealerships
Antti Herlin	 3.5 	elevators, escalators
Kieu Hoang	 3.5 	pharmaceuticals
Savitri Jindal	 3.5 	steel
Ronald Lauder	 3.5 	Estee Lauder
Wengen Liang	 3.5 	construction equipment
Masahiro Miki	 3.5 	retail
Igor Olenicoff	 3.5 	real estate
James Packer	 3.5 	casinos
Zhengmin Pan	 3.5 	electronics
Pankaj Patel	 3.5 	pharmaceuticals
Isaac Perlmutter	 3.5 	Marvel comics
Robert Rich	 3.5 	frozen foods
Haim Saban	 3.5 	TV network, investments
Steven Spielberg	 3.5 	Movies
Keiichiro Takahara	 3.5 	diapers
Steven Udvar-Hazy	 3.5 	aircraft leasing
Wenxue Wang	 3.5 	real estate
Shiping Zhang	 3.5 	aluminum products
Prince Sultan bin Mohammed bin Saud Al Kabeer	 3.4 	dairy farms
Isak Andic	 3.4 	clothing retail
Neil Bluhm	 3.4 	real estate
John Catsimatidis	 3.4 	oil, real estate
Giuseppe De'Longhi	 3.4 	coffee makers
Abilio dos Santos Diniz	 3.4 	retail
Pansy Ho	 3.4 	casinos
Michel Leclercq	 3.4 	sporting goods
Elisabeth Mohn	 3.4 	media
Kang Pang	 3.4 	soy sauce maker
Guanghe Qiu	 3.4 	apparel retail
Mitchell Rales	 3.4 	manufacturing, investments
Paolo &amp; Gianfelice Mario Rocca	 3.4 	pipe manufacturing
Lynn Schusterman	 3.4 	oil &amp; gas, investments
Friede Springer	 3.4 	publishing
Piaoyang Sun	 3.4 	pharmaceuticals
Jeff Sutton	 3.4 	real estate
Russ Weiner	 3.4 	energy drinks
Marc Benioff	 3.3 	business software
Nathan Blecharczyk	 3.3 	Airbnb
Bubba Cathy	 3.3 	Chick-Fil-A
Dan Cathy	 3.3 	Chick-Fil-A
David Cheriton	 3.3 	Google
Brian Chesky	 3.3 	Airbnb
